key_pair,engram_avg4_score
'',0.429
"',",0.7335
'.,0.7335
'/,0.3585
';,0.4615
'A,0.9615
'B,0.929
'C,0.9615
'D,0.9615
'E,0.9615
'F,0.9615
'G,0.929
'H,0.8665
'I,0.7335
'J,0.899
'K,0.899
'L,0.899
'M,0.7335
'N,0.701
'O,0.7335
'P,0.3585
'Q,0.9615
'R,0.9615
'S,0.9615
'T,0.929
'U,0.7335
'V,0.9615
'W,0.9615
'X,0.9615
'Y,0.701
'Z,0.9615
'[,0.32599999999999996
",'",0.7335
",,",0.5
",.",0.94475
",/",0.8960625
",;",0.772
",A",1.0
",B",0.9615
",C",1.0
",D",1.0
",E",1.0
",F",1.0
",G",0.9615
",H",0.7335
",I",0.25
",J",0.772
",K",0.397
",L",0.772
",M",1.0
",N",0.899
",O",0.625
",P",0.625
",Q",1.0
",R",1.0
",S",1.0
",T",0.9615
",U",0.625
",V",1.0
",W",1.0
",X",1.0
",Y",0.5865
",Z",1.0
",[",0.5865
.',0.7335
".,",1.0
..,0.5
./,0.94475
.;,0.772
.A,1.0
.B,0.9615
.C,1.0
.D,1.0
.E,1.0
.F,1.0
.G,0.9615
.H,0.7335
.I,0.625
.J,0.772
.K,0.772
.L,0.397
.M,0.9375
.N,0.899
.O,0.25
.P,0.625
.Q,1.0
.R,1.0
.S,1.0
.T,0.9615
.U,0.625
.V,1.0
.W,1.0
.X,1.0
.Y,0.5865
.Z,1.0
.[,0.5865
/',0.3585
"/,",0.9375
/.,1.0
//,0.5
/;,0.397
/A,1.0
/B,0.9615
/C,1.0
/D,1.0
/E,1.0
/F,1.0
/G,0.9615
/H,0.7335
/I,0.625
/J,0.772
/K,0.772
/L,0.772
/M,0.9375
/N,0.899
/O,0.625
/P,0.25
/Q,1.0
/R,1.0
/S,1.0
/T,0.9615
/U,0.625
/V,1.0
/W,1.0
/X,1.0
/Y,0.5865
/Z,1.0
/[,0.2115
;',0.4615
";,",0.772
;.,0.772
;/,0.397
;;,0.5
;A,1.0
;B,0.9615
;C,1.0
;D,1.0
;E,1.0
;F,1.0
;G,0.9615
;H,0.899
;I,0.772
;J,0.9375
;K,0.9375
;L,1.0
;M,0.772
;N,0.7335
;O,0.772
;P,0.397
;Q,1.0
;R,1.0
;S,1.0
;T,0.9615
;U,0.772
;V,1.0
;W,1.0
;X,1.0
;Y,0.7335
;Z,1.0
;[,0.3585
A',0.9615
"A,",1.0
A.,1.0
A/,1.0
A;,1.0
AA,0.5
AB,0.7335
AC,0.772
AD,0.9375
AE,0.772
AF,0.9375
AG,0.899
AH,0.9615
AI,1.0
AJ,1.0
AK,1.0
AL,1.0
AM,1.0
AN,0.9615
AO,1.0
AP,1.0
AQ,0.397
AR,0.772
AS,1.0
AT,0.7335
AU,1.0
AV,0.772
AW,0.772
AX,0.772
AY,0.9615
AZ,0.397
A[,0.9615
B',0.929
"B,",0.9615
B.,0.9615
B/,0.9615
B;,0.9615
BA,0.7335
BB,0.429
BC,0.8575625
BD,0.7335
BE,0.5865
BF,0.3585
BG,0.32599999999999996
BH,0.929
BI,0.9615
BJ,0.9615
BK,0.9615
BL,0.9615
BM,0.9615
BN,0.929
BO,0.9615
BP,0.9615
BQ,0.5865
BR,0.2115
BS,0.7335
BT,0.179
BU,0.9615
BV,0.4615
BW,0.5865
BX,0.8575625
BY,0.929
BZ,0.8575625
B[,0.929
C',0.9615
"C,",1.0
C.,1.0
C/,1.0
C;,1.0
CA,0.772
CB,0.899
CC,0.5
CD,0.397
CE,0.25
CF,0.772
CG,0.7335
CH,0.9615
CI,1.0
CJ,1.0
CK,1.0
CL,1.0
CM,1.0
CN,0.9615
CO,1.0
CP,1.0
CQ,0.625
CR,0.625
CS,0.772
CT,0.5865
CU,1.0
CV,1.0
CW,0.625
CX,0.94475
CY,0.9615
CZ,0.8960625
C[,0.9615
D',0.9615
"D,",1.0
D.,1.0
D/,1.0
D;,1.0
DA,0.8960625
DB,0.7335
DC,0.397
DD,0.5
DE,0.397
DF,1.0
DG,0.899
DH,0.9615
DI,1.0
DJ,1.0
DK,1.0
DL,1.0
DM,1.0
DN,0.9615
DO,1.0
DP,1.0
DQ,0.772
DR,0.772
DS,0.94475
DT,0.7335
DU,1.0
DV,0.772
DW,0.772
DX,0.772
DY,0.9615
DZ,0.772
D[,0.9615
E',0.9615
"E,",1.0
E.,1.0
E/,1.0
E;,1.0
EA,0.772
EB,0.5865
EC,0.25
ED,0.397
EE,0.5
EF,0.772
EG,0.7335
EH,0.9615
EI,1.0
EJ,1.0
EK,1.0
EL,1.0
EM,1.0
EN,0.9615
EO,1.0
EP,1.0
EQ,0.8960625
ER,1.0
ES,0.772
ET,0.899
EU,1.0
EV,0.625
EW,0.94475
EX,0.625
EY,0.9615
EZ,0.625
E[,0.9615
F',0.9615
"F,",1.0
F.,1.0
F/,1.0
F;,1.0
FA,0.8960625
FB,0.3585
FC,0.772
FD,0.94475
FE,0.772
FF,0.5
FG,0.4615
FH,0.9615
FI,1.0
FJ,1.0
FK,1.0
FL,1.0
FM,1.0
FN,0.9615
FO,1.0
FP,1.0
FQ,0.772
FR,0.397
FS,0.8960625
FT,0.3585
FU,1.0
FV,0.397
FW,0.772
FX,0.772
FY,0.9615
FZ,0.772
F[,0.9615
G',0.929
"G,",0.9615
G.,0.9615
G/,0.9615
G;,0.9615
GA,0.8575625
GB,0.32599999999999996
GC,0.7335
GD,0.8575625
GE,0.7335
GF,0.4615
GG,0.429
GH,0.929
GI,0.9615
GJ,0.9615
GK,0.9615
GL,0.9615
GM,0.9615
GN,0.929
GO,0.9615
GP,0.9615
GQ,0.7335
GR,0.3585
GS,0.8575625
GT,0.32599999999999996
GU,0.9615
GV,0.3585
GW,0.7335
GX,0.7335
GY,0.929
GZ,0.7335
G[,0.929
H',0.8250625
"H,",0.7335
H.,0.7335
H/,0.7335
H;,0.8575625
HA,0.9615
HB,0.929
HC,0.9615
HD,0.9615
HE,0.9615
HF,0.9615
HG,0.929
HH,0.429
HI,0.7335
HJ,0.4615
HK,0.8575625
HL,0.8575625
HM,0.3585
HN,0.32599999999999996
HO,0.7335
HP,0.7335
HQ,0.9615
HR,0.9615
HS,0.9615
HT,0.929
HU,0.3585
HV,0.9615
HW,0.9615
HX,0.9615
HY,0.32599999999999996
HZ,0.9615
H[,0.701
I',0.7335
"I,",0.25
I.,0.625
I/,0.625
I;,0.772
IA,1.0
IB,0.9615
IC,1.0
ID,1.0
IE,1.0
IF,1.0
IG,0.9615
IH,0.7335
II,0.5
IJ,0.772
IK,0.397
IL,0.772
IM,0.625
IN,0.5865
IO,0.94475
IP,0.8960625
IQ,1.0
IR,1.0
IS,1.0
IT,0.9615
IU,1.0
IV,1.0
IW,1.0
IX,1.0
IY,0.899
IZ,1.0
I[,0.8575625
J',0.8575625
"J,",0.772
J.,0.772
J/,0.772
J;,0.8960625
JA,1.0
JB,0.9615
JC,1.0
JD,1.0
JE,1.0
JF,1.0
JG,0.9615
JH,0.4615
JI,0.772
JJ,0.5
JK,0.94475
JL,0.8960625
JM,0.397
JN,0.3585
JO,0.772
JP,0.772
JQ,1.0
JR,1.0
JS,1.0
JT,0.9615
JU,0.397
JV,1.0
JW,1.0
JX,1.0
JY,0.3585
JZ,1.0
J[,0.7335
K',0.8575625
"K,",0.397
K.,0.772
K/,0.772
K;,0.8960625
KA,1.0
KB,0.9615
KC,1.0
KD,1.0
KE,1.0
KF,1.0
KG,0.9615
KH,0.899
KI,0.397
KJ,1.0
KK,0.5
KL,0.94475
KM,0.772
KN,0.7335
KO,0.772
KP,0.772
KQ,1.0
KR,1.0
KS,1.0
KT,0.9615
KU,0.772
KV,1.0
KW,1.0
KX,1.0
KY,0.7335
KZ,1.0
K[,0.7335
L',0.8575625
"L,",0.772
L.,0.397
L/,0.772
L;,0.94475
LA,1.0
LB,0.9615
LC,1.0
LD,1.0
LE,1.0
LF,1.0
LG,0.9615
LH,0.899
LI,0.772
LJ,0.9375
LK,1.0
LL,0.5
LM,0.772
LN,0.7335
LO,0.397
LP,0.772
LQ,1.0
LR,1.0
LS,1.0
LT,0.9615
LU,0.772
LV,1.0
LW,1.0
LX,1.0
LY,0.7335
LZ,1.0
L[,0.7335
M',0.7335
"M,",0.94475
M.,0.8960625
M/,0.8960625
M;,0.772
MA,1.0
MB,0.9615
MC,1.0
MD,1.0
ME,1.0
MF,1.0
MG,0.9615
MH,0.3585
MI,0.625
MJ,0.397
MK,0.772
ML,0.772
MM,0.5
MN,0.4615
MO,0.625
MP,0.625
MQ,1.0
MR,1.0
MS,1.0
MT,0.9615
MU,0.25
MV,1.0
MW,1.0
MX,1.0
MY,0.2115
MZ,1.0
M[,0.5865
N',0.701
"N,",0.8575625
N.,0.8575625
N/,0.8575625
N;,0.7335
NA,0.9615
NB,0.929
NC,0.9615
ND,0.9615
NE,0.9615
NF,0.9615
NG,0.929
NH,0.32599999999999996
NI,0.5865
NJ,0.3585
NK,0.7335
NL,0.7335
NM,0.4615
NN,0.429
NO,0.5865
NP,0.5865
NQ,0.9615
NR,0.9615
NS,0.9615
NT,0.929
NU,0.2115
NV,0.9615
NW,0.9615
NX,0.9615
NY,0.179
NZ,0.9615
N[,0.554
O',0.7335
"O,",0.625
O.,0.25
O/,0.625
O;,0.772
OA,1.0
OB,0.9615
OC,1.0
OD,1.0
OE,1.0
OF,1.0
OG,0.9615
OH,0.7335
OI,1.0
OJ,0.772
OK,0.772
OL,0.397
OM,0.625
ON,0.5865
OO,0.5
OP,0.94475
OQ,1.0
OR,1.0
OS,1.0
OT,0.9615
OU,0.9375
OV,1.0
OW,1.0
OX,1.0
OY,0.899
OZ,1.0
O[,0.8575625
P',0.3585
"P,",0.625
P.,0.625
P/,0.25
P;,0.397
PA,1.0
PB,0.9615
PC,1.0
PD,1.0
PE,1.0
PF,1.0
PG,0.9615
PH,0.7335
PI,0.9375
PJ,0.772
PK,0.772
PL,0.772
PM,0.625
PN,0.5865
PO,1.0
PP,0.5
PQ,1.0
PR,1.0
PS,1.0
PT,0.9615
PU,0.9375
PV,1.0
PW,1.0
PX,1.0
PY,0.899
PZ,1.0
P[,0.4615
Q',0.9615
"Q,",1.0
Q.,1.0
Q/,1.0
Q;,1.0
QA,0.397
QB,0.5865
QC,0.625
QD,0.772
QE,0.9375
QF,0.772
QG,0.7335
QH,0.9615
QI,1.0
QJ,1.0
QK,1.0
QL,1.0
QM,1.0
QN,0.9615
QO,1.0
QP,1.0
QQ,0.5
QR,0.9375
QS,0.772
QT,0.899
QU,1.0
QV,0.625
QW,1.0
QX,0.625
QY,0.9615
QZ,0.25
Q[,0.9615
R',0.9615
"R,",1.0
R.,1.0
R/,1.0
R;,1.0
RA,0.772
RB,0.2115
RC,0.625
RD,0.772
RE,0.94475
RF,0.397
RG,0.3585
RH,0.9615
RI,1.0
RJ,1.0
RK,1.0
RL,1.0
RM,1.0
RN,0.9615
RO,1.0
RP,1.0
RQ,0.8960625
RR,0.5
RS,0.772
RT,0.4615
RU,1.0
RV,0.25
RW,0.8960625
RX,0.625
RY,0.9615
RZ,0.625
R[,0.9615
S',0.9615
"S,",1.0
S.,1.0
S/,1.0
S;,1.0
SA,0.94475
SB,0.7335
SC,0.772
SD,1.0
SE,0.772
SF,0.9375
SG,0.899
SH,0.9615
SI,1.0
SJ,1.0
SK,1.0
SL,1.0
SM,1.0
SN,0.9615
SO,1.0
SP,1.0
SQ,0.772
SR,0.772
SS,0.5
ST,0.7335
SU,1.0
SV,0.772
SW,0.397
SX,0.397
SY,0.9615
SZ,0.772
S[,0.9615
T',0.929
"T,",0.9615
T.,0.9615
T/,0.9615
T;,0.9615
TA,0.7335
TB,0.179
TC,0.5865
TD,0.7335
TE,0.8575625
TF,0.3585
TG,0.32599999999999996
TH,0.929
TI,0.9615
TJ,0.9615
TK,0.9615
TL,0.9615
TM,0.9615
TN,0.929
TO,0.9615
TP,0.9615
TQ,0.8575625
TR,0.4615
TS,0.7335
TT,0.429
TU,0.9615
TV,0.2115
TW,0.8575625
TX,0.5865
TY,0.929
TZ,0.5865
T[,0.929
U',0.7335
"U,",0.625
U.,0.625
U/,0.625
U;,0.772
UA,1.0
UB,0.9615
UC,1.0
UD,1.0
UE,1.0
UF,1.0
UG,0.9615
UH,0.3585
UI,0.94475
UJ,0.397
UK,0.772
UL,0.772
UM,0.25
UN,0.2115
UO,0.8960625
UP,0.8960625
UQ,1.0
UR,1.0
US,1.0
UT,0.9615
UU,0.5
UV,1.0
UW,1.0
UX,1.0
UY,0.4615
UZ,1.0
U[,0.8575625
V',0.9615
"V,",1.0
V.,1.0
V/,1.0
V;,1.0
VA,0.772
VB,0.4615
VC,0.94475
VD,0.772
VE,0.625
VF,0.397
VG,0.3585
VH,0.9615
VI,1.0
VJ,1.0
VK,1.0
VL,1.0
VM,1.0
VN,0.9615
VO,1.0
VP,1.0
VQ,0.625
VR,0.25
VS,0.772
VT,0.2115
VU,1.0
VV,0.5
VW,0.625
VX,0.8960625
VY,0.9615
VZ,0.8960625
V[,0.9615
W',0.9615
"W,",1.0
W.,1.0
W/,1.0
W;,1.0
WA,0.772
WB,0.5865
WC,0.625
WD,0.772
WE,1.0
WF,0.772
WG,0.7335
WH,0.9615
WI,1.0
WJ,1.0
WK,1.0
WL,1.0
WM,1.0
WN,0.9615
WO,1.0
WP,1.0
WQ,0.94475
WR,0.9375
WS,0.397
WT,0.899
WU,1.0
WV,0.625
WW,0.5
WX,0.25
WY,0.9615
WZ,0.625
W[,0.9615
X',0.9615
"X,",1.0
X.,1.0
X/,1.0
X;,1.0
XA,0.772
XB,0.899
XC,1.0
XD,0.772
XE,0.625
XF,0.772
XG,0.7335
XH,0.9615
XI,1.0
XJ,1.0
XK,1.0
XL,1.0
XM,1.0
XN,0.9615
XO,1.0
XP,1.0
XQ,0.625
XR,0.625
XS,0.397
XT,0.5865
XU,1.0
XV,0.9375
XW,0.25
XX,0.5
XY,0.9615
XZ,0.94475
X[,0.9615
Y',0.701
"Y,",0.5865
Y.,0.5865
Y/,0.5865
Y;,0.7335
YA,0.9615
YB,0.929
YC,0.9615
YD,0.9615
YE,0.9615
YF,0.9615
YG,0.929
YH,0.32599999999999996
YI,0.8575625
YJ,0.3585
YK,0.7335
YL,0.7335
YM,0.2115
YN,0.179
YO,0.8575625
YP,0.8575625
YQ,0.9615
YR,0.9615
YS,0.9615
YT,0.929
YU,0.4615
YV,0.9615
YW,0.9615
YX,0.9615
YY,0.429
YZ,0.9615
Y[,0.8250625
Z',0.9615
"Z,",1.0
Z.,1.0
Z/,1.0
Z;,1.0
ZA,0.397
ZB,0.899
ZC,0.9375
ZD,0.772
ZE,0.625
ZF,0.772
ZG,0.7335
ZH,0.9615
ZI,1.0
ZJ,1.0
ZK,1.0
ZL,1.0
ZM,1.0
ZN,0.9615
ZO,1.0
ZP,1.0
ZQ,0.25
ZR,0.625
ZS,0.772
ZT,0.5865
ZU,1.0
ZV,0.9375
ZW,0.625
ZX,1.0
ZY,0.9615
ZZ,0.5
Z[,0.9615
[',0.32599999999999996
"[,",0.5865
[.,0.5865
[/,0.2115
[;,0.3585
[A,0.9615
[B,0.929
[C,0.9615
[D,0.9615
[E,0.9615
[F,0.9615
[G,0.929
[H,0.701
[I,0.899
[J,0.7335
[K,0.7335
[L,0.7335
[M,0.5865
[N,0.554
[O,0.899
[P,0.4615
[Q,0.9615
[R,0.9615
[S,0.9615
[T,0.929
[U,0.899
[V,0.9615
[W,0.9615
[X,0.9615
[Y,0.8665
[Z,0.9615
[[,0.429
